check_id,run_id,layer_name,table_name,check_name,check_category,severity,status,expected_value,actual_value,failed_row_count,dq_issue_reason,checked_at
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_products_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_campaigns_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_campaigns_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_orders_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_orders_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_ad_spend_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_ad_spend_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_support_tickets_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_support_tickets_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_gold_fact_orders_foreign_keys_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_gold_fact_ad_spend_foreign_keys_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_gold_fact_support_tickets_foreign_keys_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_customers_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_customers_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_products_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_products_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_campaigns_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_campaigns_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_orders_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_orders_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_ad_spend_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_ad_spend_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_support_tickets_required_key_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_support_tickets_dq_status_valid_or_rejected,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_gold_fact_orders_foreign_keys_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_gold_fact_ad_spend_foreign_keys_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_gold_fact_support_tickets_foreign_keys_not_null,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-24 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_customers_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_customers_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,customers,dq_status_valid_or_rejected,validity,warning,failed,0 failed rows,4 failed rows,4,dq_status_valid_or_rejected,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_products_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_products_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_campaigns_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_campaigns_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_orders_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_orders_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_ad_spend_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_ad_spend_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_support_tickets_required_key_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_support_tickets_dq_status_valid_or_rejected,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_gold_fact_orders_foreign_keys_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_gold_fact_ad_spend_foreign_keys_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_gold_fact_support_tickets_foreign_keys_not_null,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-25 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_customers_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_customers_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_products_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_products_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_campaigns_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_campaigns_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_orders_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_orders_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_ad_spend_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_ad_spend_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_support_tickets_required_key_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_support_tickets_dq_status_valid_or_rejected,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_gold_fact_orders_foreign_keys_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_gold_fact_ad_spend_foreign_keys_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_gold_fact_support_tickets_foreign_keys_not_null,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-26 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_customers_required_key_not_null,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_customers_dq_status_valid_or_rejected,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_products_required_key_not_null,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_products_dq_status_valid_or_rejected,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_campaigns_required_key_not_null,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_campaigns_dq_status_valid_or_rejected,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_orders_required_key_not_null,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_orders_dq_status_valid_or_rejected,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_ad_spend_required_key_not_null,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_ad_spend_dq_status_valid_or_rejected,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-27 14:17:42+00:00
