reconciliation_id,run_id,source_layer,target_layer,source_table,target_table,source_row_count,target_row_count,row_count_difference,reconciliation_status,checked_at
local-75340984-c022-521c-8ad1-a01feaadf672_silver_gold_orders,local-75340984-c022-521c-8ad1-a01feaadf672,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_gold_ad_spend,local-75340984-c022-521c-8ad1-a01feaadf672,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_gold_support_tickets,local-75340984-c022-521c-8ad1-a01feaadf672,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-21 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_customers,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_customers,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_products,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_products,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_campaigns,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_campaigns,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_orders,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_orders,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_ad_spend,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_ad_spend,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_source_bronze_support_tickets,local-78f97399-aba7-564e-a327-2f925947cc93,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_bronze_silver_support_tickets,local-78f97399-aba7-564e-a327-2f925947cc93,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_gold_orders,local-78f97399-aba7-564e-a327-2f925947cc93,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_gold_ad_spend,local-78f97399-aba7-564e-a327-2f925947cc93,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_gold_support_tickets,local-78f97399-aba7-564e-a327-2f925947cc93,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-22 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_customers,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_customers,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_products,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_products,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_campaigns,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_campaigns,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_orders,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_orders,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_ad_spend,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_ad_spend,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_source_bronze_support_tickets,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_bronze_silver_support_tickets,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_gold_orders,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_gold_ad_spend,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_gold_support_tickets,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-23 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_customers,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_customers,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_products,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_products,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_campaigns,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_campaigns,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_orders,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_orders,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_ad_spend,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_ad_spend,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_source_bronze_support_tickets,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_bronze_silver_support_tickets,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_gold_orders,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_gold_ad_spend,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-24 14:17:42+00:00
local-4f1ee866-8b54-535c-8e54-1fd9ad897c30_silver_gold_support_tickets,local-4f1ee866-8b54-535c-8e54-1fd9ad897c30,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-24 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_customers,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_customers,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_products,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_products,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_campaigns,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_campaigns,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_orders,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_orders,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_ad_spend,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_ad_spend,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_source_bronze_support_tickets,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_bronze_silver_support_tickets,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_gold_orders,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_gold_ad_spend,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-25 14:17:42+00:00
local-7bc4dbeb-acf6-5e2a-9494-7c2482834415_silver_gold_support_tickets,local-7bc4dbeb-acf6-5e2a-9494-7c2482834415,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-25 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_customers,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_customers,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_products,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_products,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_campaigns,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_campaigns,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_orders,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_orders,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_ad_spend,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_ad_spend,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_source_bronze_support_tickets,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_bronze_silver_support_tickets,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_gold_orders,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_gold_ad_spend,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-26 14:17:42+00:00
local-186ef5c0-8842-5d15-967a-ebe262ae9d58_silver_gold_support_tickets,local-186ef5c0-8842-5d15-967a-ebe262ae9d58,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-26 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_customers,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_customers,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_products,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_products,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_campaigns,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_campaigns,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_orders,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_orders,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_ad_spend,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_ad_spend,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_source_bronze_support_tickets,local-4baf1391-88eb-5436-87fb-053bf01b34e1,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_bronze_silver_support_tickets,local-4baf1391-88eb-5436-87fb-053bf01b34e1,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_gold_orders,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,gold,silver_orders,fact_orders,10000,10000,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_gold_ad_spend,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,gold,silver_ad_spend,fact_ad_spend,918,918,0,matched,2026-07-27 14:17:42+00:00
local-4baf1391-88eb-5436-87fb-053bf01b34e1_silver_gold_support_tickets,local-4baf1391-88eb-5436-87fb-053bf01b34e1,silver,gold,silver_support_tickets,fact_support_tickets,1450,1450,0,matched,2026-07-27 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_customers,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_customers,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_products,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_products,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_campaigns,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_campaigns,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_orders,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_orders,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_ad_spend,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_ad_spend,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_source_bronze_support_tickets,local-6924352b-66e5-554b-841d-cd4de75038e1,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-28 14:17:42+00:00
local-6924352b-66e5-554b-841d-cd4de75038e1_bronze_silver_support_tickets,local-6924352b-66e5-554b-841d-cd4de75038e1,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-28 14:17:42+00:00
