spend_id,campaign_id,spend_date,channel,impressions,clicks,conversions,spend_amount,updated_at
SPEND-0000029,CMP-0002,2025-01-18,Paid Social,55921,2334,220,1584.47,2025-01-25 00:00:00
SPEND-0000030,CMP-0002,2025-01-24,Paid Social,46259,2843,413,397.85,2025-01-30 00:00:00
SPEND-0000031,CMP-0002,2025-01-25,Paid Social,101239,6604,980,2011.55,2025-01-30 00:00:00
SPEND-0000032,CMP-0002,2025-01-30,Paid Social,11109,159,17,124.16,2025-01-30 00:00:00
SPEND-0000033,CMP-0002,2025-02-03,Paid Social,38374,553,60,498.49,2025-02-11 00:00:00
SPEND-0000034,CMP-0002,2025-02-06,Paid Social,41733,1230,51,354.86,2025-02-13 00:00:00
SPEND-0000035,CMP-0002,2025-02-17,Paid Social,120344,7039,989,1574.58,2025-02-26 00:00:00
SPEND-0000036,CMP-0002,2025-02-22,Paid Social,127673,4410,402,1957.14,2025-02-28 00:00:00
SPEND-0000037,CMP-0002,2025-03-04,Paid Social,36258,1356,180,778.53,2025-03-09 00:00:00
SPEND-0000038,CMP-0002,2025-03-05,Paid Social,48205,1270,131,721.07,2025-03-12 00:00:00
SPEND-0000039,CMP-0002,2025-03-13,Paid Social,50425,2648,418,497.98,2025-03-22 00:00:00
SPEND-0000040,CMP-0002,2025-03-15,Paid Social,34906,2167,317,311.04,2025-03-21 00:00:00
SPEND-0000041,CMP-0002,2025-03-16,Paid Social,51609,788,12,732.55,2025-03-23 00:00:00
SPEND-0000042,CMP-0002,2025-03-17,Paid Social,239770,3225,261,2277.12,2025-03-20 00:00:00
SPEND-0000043,CMP-0002,2025-03-19,Paid Social,85482,6366,485,769.79,2025-03-21 00:00:00
SPEND-0000044,CMP-0002,2025-03-23,Paid Social,96697,5760,128,1969.68,2025-03-31 00:00:00
SPEND-0000045,CMP-0002,2025-03-25,Paid Social,56464,897,54,1399.36,2025-03-28 00:00:00
SPEND-0000046,CMP-0002,2025-03-26,Paid Social,62926,1842,72,1181.94,2025-04-01 00:00:00
SPEND-0000047,CMP-0003,2025-11-09,Organic,119567,3253,147,1407.45,2025-11-11 00:00:00
SPEND-0000048,CMP-0003,2025-11-14,Organic,37228,1618,217,876.6,2025-11-20 00:00:00
SPEND-0000049,CMP-0003,2025-11-15,Organic,7608,301,44,130.77,2025-11-21 00:00:00
SPEND-0000050,CMP-0003,2025-11-20,Organic,19631,853,81,475.32,2025-11-25 00:00:00
SPEND-0000051,CMP-0003,2025-11-21,Organic,48651,2570,115,1335.34,2025-11-30 00:00:00
SPEND-0000052,CMP-0003,2025-11-22,Organic,142749,9395,380,1968.41,2025-11-30 00:00:00
SPEND-0000053,CMP-0003,2025-11-24,Organic,66102,2629,298,1709.1,2025-11-29 00:00:00
SPEND-0000054,CMP-0003,2025-12-05,Organic,67187,687,31,1525.62,2025-12-11 00:00:00
SPEND-0000055,CMP-0003,2025-12-17,Organic,54335,1426,69,1467.55,2025-12-19 00:00:00
SPEND-0000056,CMP-0003,2025-12-18,Organic,131633,7410,997,2019.85,2025-12-21 00:00:00
SPEND-0000057,CMP-0003,2025-12-20,Organic,33343,2163,150,340.89,2025-12-27 00:00:00
SPEND-0000058,CMP-0003,2025-12-25,Organic,200264,11133,1049,2139.49,2025-12-30 00:00:00
SPEND-0000059,CMP-0003,2025-12-26,Organic,84855,5451,344,824.84,2025-12-29 00:00:00
SPEND-0000060,CMP-0003,2025-12-29,Organic,149036,3333,354,1545.06,2025-12-31 00:00:00
SPEND-0000061,CMP-0003,2025-12-30,Organic,44142,1317,114,713.64,2026-01-02 00:00:00
SPEND-0000062,CMP-0004,2025-06-20,Paid Search,127948,4042,624,1792.4,2025-06-21 00:00:00
SPEND-0000063,CMP-0004,2025-06-23,Paid Search,41872,968,153,555.85,2025-06-30 00:00:00
SPEND-0000064,CMP-0004,2025-06-25,Paid Search,58988,1701,156,1407.18,2025-07-04 00:00:00
SPEND-0000065,CMP-0004,2025-06-29,Paid Search,55141,1303,205,591.33,2025-07-04 00:00:00
SPEND-0000066,CMP-0004,2025-07-03,Paid Search,145529,4737,192,1992.92,2025-07-08 00:00:00
SPEND-0000067,CMP-0004,2025-07-04,Paid Search,202120,8378,1213,1830.89,2025-07-04 00:00:00
SPEND-0000068,CMP-0004,2025-07-05,Paid Search,194405,4867,649,2282.26,2025-07-08 00:00:00
SPEND-0000069,CMP-0004,2025-07-07,Paid Search,114514,3639,118,2235.97,2025-07-09 00:00:00
SPEND-0000070,CMP-0004,2025-07-08,Paid Search,57364,1951,207,736.85,2025-07-11 00:00:00
SPEND-0000071,CMP-0004,2025-07-09,Paid Search,124010,8682,1240,1401.23,2025-07-12 00:00:00
SPEND-0000072,CMP-0004,2025-07-11,Paid Search,52094,763,36,694.27,2025-07-13 00:00:00
SPEND-0000073,CMP-0004,2025-07-19,Paid Search,227683,15499,903,2294.06,2025-07-21 00:00:00
SPEND-0000074,CMP-0005,2024-06-18,Direct,107141,1819,111,1552.01,2024-06-26 00:00:00
SPEND-0000075,CMP-0005,2024-06-24,Direct,185547,6618,958,2265.0,2024-06-30 00:00:00
SPEND-0000076,CMP-0005,2024-07-03,Direct,22715,673,18,542.16,2024-07-05 00:00:00
SPEND-0000077,CMP-0005,2024-07-06,Direct,32571,680,34,639.39,2024-07-10 00:00:00
SPEND-0000078,CMP-0005,2024-07-07,Direct,46845,2311,270,1332.91,2024-07-16 00:00:00
SPEND-0000079,CMP-0005,2024-07-08,Direct,93667,4526,264,1257.97,2024-07-15 00:00:00
SPEND-0000080,CMP-0005,2024-07-10,Direct,27032,1786,152,345.67,2024-07-15 00:00:00
SPEND-0000081,CMP-0005,2024-07-12,Direct,23164,1620,101,570.23,2024-07-14 00:00:00
SPEND-0000082,CMP-0005,2024-07-22,Direct,249540,9429,718,2163.74,2024-07-28 00:00:00
SPEND-0000083,CMP-0005,2024-07-30,Direct,82972,2542,146,1560.25,2024-08-02 00:00:00
SPEND-0000084,CMP-0005,2024-07-31,Direct,39204,1703,48,948.61,2024-08-03 00:00:00
SPEND-0000085,CMP-0005,2024-08-02,Direct,102929,1722,170,1054.99,2024-08-09 00:00:00
SPEND-0000086,CMP-0005,2024-08-03,Direct,44137,1602,174,523.75,2024-08-11 00:00:00
SPEND-0000087,CMP-0005,2024-08-06,Direct,165078,8763,457,2172.17,2024-08-06 00:00:00
SPEND-0000088,CMP-0005,2024-08-14,Direct,201961,14560,1901,1757.74,2024-08-17 00:00:00
SPEND-0000089,CMP-0005,2024-08-17,Direct,29136,1701,95,505.83,2024-08-21 00:00:00
SPEND-0000090,CMP-0005,2024-08-21,Direct,42659,1258,118,731.96,2024-08-21 00:00:00
SPEND-0000091,CMP-0005,2024-08-25,Direct,66680,4245,185,983.21,2024-08-31 00:00:00
SPEND-0000092,CMP-0005,2024-08-28,Direct,123079,4776,696,1496.94,2024-08-31 00:00:00
SPEND-0000093,CMP-0005,2024-08-31,Direct,135296,8554,689,1942.11,2024-08-31 00:00:00
SPEND-0000094,CMP-0006,2025-10-17,Paid Search,133092,1597,129,1585.74,2025-10-17 00:00:00
SPEND-0000095,CMP-0006,2025-10-20,Paid Search,88719,5620,136,1342.19,2025-10-21 00:00:00
SPEND-0000096,CMP-0006,2025-10-21,Paid Search,115592,6000,243,1070.36,2025-10-26 00:00:00
SPEND-0000097,CMP-0006,2025-10-22,Paid Search,68136,3222,103,858.49,2025-10-30 00:00:00
SPEND-0000098,CMP-0006,2025-11-02,Paid Search,150384,7594,859,1614.59,2025-11-08 00:00:00
SPEND-0000099,CMP-0006,2025-11-08,Paid Search,34489,885,59,614.33,2025-11-10 00:00:00
SPEND-0000100,CMP-0006,2025-11-18,Paid Search,77385,1052,145,660.23,2025-11-23 00:00:00
SPEND-0000101,CMP-0006,2025-11-27,Paid Search,92248,6313,155,1489.5,2025-11-30 00:00:00
SPEND-0000102,CMP-0006,2025-12-06,Paid Search,80882,2586,133,693.17,2025-12-14 00:00:00
SPEND-0000103,CMP-0006,2025-12-14,Paid Search,22140,649,35,346.64,2025-12-16 00:00:00
SPEND-0000104,CMP-0006,2025-12-15,Paid Search,22995,1241,145,268.85,2025-12-23 00:00:00
SPEND-0000105,CMP-0006,2025-12-16,Paid Search,174892,12859,1859,1581.57,2025-12-17 00:00:00
SPEND-0000106,CMP-0006,2025-12-18,Paid Search,46198,1372,26,398.02,2025-12-18 00:00:00
SPEND-0000107,CMP-0006,2025-12-19,Paid Search,73311,5419,652,792.87,2025-12-22 00:00:00
SPEND-0000108,CMP-0006,2025-12-30,Paid Search,81640,4589,249,1652.61,2025-12-30 00:00:00
SPEND-0000109,CMP-0006,2025-12-31,Paid Search,120331,2712,391,1084.8,2026-01-02 00:00:00
SPEND-0000110,CMP-0007,2024-04-12,Paid Social,90077,4565,416,2269.88,2024-04-19 00:00:00
SPEND-0000111,CMP-0007,2024-04-15,Paid Social,73347,853,57,956.09,2024-04-17 00:00:00
SPEND-0000112,CMP-0007,2024-04-18,Paid Social,80377,3241,506,1046.2,2024-04-25 00:00:00
SPEND-0000113,CMP-0007,2024-04-30,Paid Social,201492,6048,356,1707.32,2024-05-08 00:00:00
SPEND-0000114,CMP-0007,2024-05-01,Paid Social,107516,5947,651,1157.35,2024-05-04 00:00:00
SPEND-0000115,CMP-0007,2024-05-03,Paid Social,36079,1339,90,585.62,2024-05-04 00:00:00
SPEND-0000116,CMP-0007,2024-05-06,Paid Social,149309,4382,539,1627.22,2024-05-11 00:00:00
SPEND-0000117,CMP-0007,2024-05-12,Paid Social,14506,882,99,160.24,2024-05-15 00:00:00
SPEND-0000118,CMP-0007,2024-05-14,Paid Social,36990,2278,58,516.63,2024-05-23 00:00:00
SPEND-0000119,CMP-0007,2024-05-16,Paid Social,8797,431,36,172.86,2024-05-25 00:00:00
SPEND-0000120,CMP-0007,2024-05-19,Paid Social,108285,6912,1070,1473.06,2024-05-28 00:00:00
SPEND-0000121,CMP-0007,2024-05-25,Paid Social,98212,4947,643,1460.26,2024-06-01 00:00:00
SPEND-0000122,CMP-0007,2024-05-27,Paid Social,68076,3735,165,1907.17,2024-06-04 00:00:00
SPEND-0000123,CMP-0007,2024-05-28,Paid Social,210642,2193,137,1809.46,2024-06-02 00:00:00
SPEND-0000124,CMP-0007,2024-06-08,Paid Social,22397,437,14,222.79,2024-06-08 00:00:00
SPEND-0000125,CMP-0007,2024-06-11,Paid Social,73708,2803,107,1727.74,2024-06-11 00:00:00
SPEND-0000126,CMP-0007,2024-06-21,Paid Social,72995,1723,239,1544.53,2024-06-21 00:00:00
SPEND-0000127,CMP-0007,2024-06-24,Paid Social,15635,346,16,160.55,2024-06-24 00:00:00
SPEND-0000128,CMP-0007,2024-07-03,Paid Social,7685,265,35,98.01,2024-07-12 00:00:00
SPEND-0000129,CMP-0007,2024-07-04,Paid Social,95141,2166,76,2395.91,2024-07-05 00:00:00
SPEND-0000130,CMP-0008,2024-05-26,Partner,22785,1357,45,261.86,2024-05-27 00:00:00
SPEND-0000131,CMP-0008,2024-05-29,Partner,90249,3293,463,1257.48,2024-05-30 00:00:00
SPEND-0000132,CMP-0008,2024-06-01,Partner,22637,1421,100,232.09,2024-06-10 00:00:00
SPEND-0000133,CMP-0008,2024-06-02,Partner,82915,3507,82,1441.6,2024-06-08 00:00:00
SPEND-0000134,CMP-0008,2024-06-03,Partner,77852,2142,159,1958.4,2024-06-06 00:00:00
SPEND-0000135,CMP-0008,2024-06-04,Partner,113610,7886,664,1316.54,2024-06-08 00:00:00
SPEND-0000136,CMP-0008,2024-06-05,Partner,67856,4368,279,1593.55,2024-06-11 00:00:00
SPEND-0000137,CMP-0008,2024-06-11,Partner,234113,8229,662,2355.48,2024-06-16 00:00:00
SPEND-0000138,CMP-0008,2024-06-15,Partner,37063,1669,168,418.02,2024-06-21 00:00:00
SPEND-0000139,CMP-0008,2024-06-16,Partner,104333,3960,145,1728.11,2024-06-18 00:00:00
SPEND-0000140,CMP-0008,2024-06-17,Partner,86846,4112,553,1738.99,2024-06-22 00:00:00
SPEND-0000141,CMP-0008,2024-06-26,Partner,162857,12184,527,1483.45,2024-07-01 00:00:00
SPEND-0000142,CMP-0008,2024-06-29,Partner,77997,988,67,1185.14,2024-07-05 00:00:00
SPEND-0000143,CMP-0008,2024-07-01,Partner,215596,2016,145,2055.32,2024-07-07 00:00:00
SPEND-0000144,CMP-0008,2024-07-02,Partner,187103,13784,894,2280.79,2024-07-09 00:00:00
SPEND-0000145,CMP-0008,2024-07-03,Partner,122242,3353,262,1137.05,2024-07-06 00:00:00
SPEND-0000146,CMP-0008,2024-07-06,Partner,120066,4240,604,1902.57,2024-07-13 00:00:00
SPEND-0000147,CMP-0008,2024-07-07,Partner,54997,3943,437,1349.5,2024-07-10 00:00:00
SPEND-0000148,CMP-0008,2024-07-08,Partner,240694,14237,492,2313.72,2024-07-10 00:00:00
SPEND-0000149,CMP-0009,2024-03-16,Paid Social,146180,7286,1007,1836.7,2024-03-22 00:00:00
SPEND-0000150,CMP-0009,2024-03-17,Paid Social,133921,8226,142,2135.28,2024-03-26 00:00:00
SPEND-0000151,CMP-0009,2024-03-18,Paid Social,58480,1378,194,760.27,2024-03-19 00:00:00
SPEND-0000152,CMP-0009,2024-03-19,Paid Social,93781,5739,673,1337.05,2024-03-26 00:00:00
SPEND-0000153,CMP-0009,2024-03-20,Paid Social,51240,1439,186,831.01,2024-03-27 00:00:00
SPEND-0000154,CMP-0009,2024-03-21,Paid Social,43891,1826,83,965.93,2024-03-25 00:00:00
SPEND-0000155,CMP-0009,2024-03-23,Paid Social,75368,5277,416,1297.89,2024-03-28 00:00:00
SPEND-0000156,CMP-0009,2024-03-24,Paid Social,125816,6381,132,1314.6,2024-03-31 00:00:00
SPEND-0000157,CMP-0009,2024-03-25,Paid Social,240287,4000,232,2173.28,2024-03-29 00:00:00
SPEND-0000158,CMP-0009,2024-03-26,Paid Social,81050,5906,464,718.18,2024-04-04 00:00:00
SPEND-0000159,CMP-0009,2024-03-27,Paid Social,42571,477,12,467.37,2024-04-02 00:00:00
SPEND-0000160,CMP-0009,2024-03-29,Paid Social,107121,949,59,993.35,2024-04-05 00:00:00
SPEND-0000161,CMP-0009,2024-03-30,Paid Social,28175,1227,40,791.31,2024-04-05 00:00:00
SPEND-0000162,CMP-0009,2024-03-31,Paid Social,90422,4318,523,811.43,2024-04-03 00:00:00
SPEND-0000163,CMP-0009,2024-04-01,Paid Social,89643,5981,688,1815.44,2024-04-02 00:00:00
SPEND-0000164,CMP-0009,2024-04-02,Paid Social,87880,3244,67,1635.98,2024-04-06 00:00:00
SPEND-0000165,CMP-0009,2024-04-04,Paid Social,4714,94,10,132.82,2024-04-07 00:00:00
SPEND-0000166,CMP-0009,2024-04-05,Paid Social,69303,3121,249,621.45,2024-04-14 00:00:00
SPEND-0000167,CMP-0009,2024-04-06,Paid Social,59246,2134,36,1120.92,2024-04-10 00:00:00
SPEND-0000168,CMP-0009,2024-04-07,Paid Social,70396,764,78,1043.6,2024-04-09 00:00:00
SPEND-0000169,CMP-0009,2024-04-09,Paid Social,38796,2684,390,522.99,2024-04-16 00:00:00
SPEND-0000170,CMP-0009,2024-04-10,Paid Social,36670,831,83,682.57,2024-04-17 00:00:00
SPEND-0000171,CMP-0009,2024-04-11,Paid Social,57801,3211,110,644.93,2024-04-19 00:00:00
SPEND-0000172,CMP-0009,2024-04-12,Paid Social,12211,466,24,287.12,2024-04-15 00:00:00
SPEND-0000173,CMP-0009,2024-04-13,Paid Social,146505,4400,538,2342.84,2024-04-16 00:00:00
SPEND-0000174,CMP-0009,2024-04-14,Paid Social,203412,12113,582,2264.11,2024-04-16 00:00:00
SPEND-0000175,CMP-0009,2024-04-17,Paid Social,280313,8704,1145,2394.4,2024-04-18 00:00:00
SPEND-0000176,CMP-0009,2024-04-18,Paid Social,29074,1584,147,734.49,2024-04-23 00:00:00
SPEND-0000177,CMP-0010,2025-11-04,Paid Social,33276,2337,201,737.86,2025-11-10 00:00:00
SPEND-0000178,CMP-0010,2025-11-12,Paid Social,32184,2000,217,278.95,2025-11-21 00:00:00
SPEND-0000179,CMP-0010,2025-11-13,Paid Social,82886,4662,150,1984.78,2025-11-22 00:00:00
SPEND-0000180,CMP-0010,2025-11-21,Paid Social,108742,3410,462,1876.99,2025-11-25 00:00:00
SPEND-0000181,CMP-0010,2025-11-22,Paid Social,103898,1007,18,2269.43,2025-11-23 00:00:00
SPEND-0000182,CMP-0010,2025-12-01,Paid Social,148438,6239,848,1958.8,2025-12-06 00:00:00
SPEND-0000183,CMP-0010,2025-12-08,Paid Social,81281,1535,198,2300.08,2025-12-13 00:00:00
SPEND-0000184,CMP-0010,2025-12-16,Paid Social,209398,5858,801,2203.75,2025-12-17 00:00:00
SPEND-0000185,CMP-0010,2025-12-17,Paid Social,111598,3915,526,1097.66,2025-12-19 00:00:00
SPEND-0000186,CMP-0010,2025-12-21,Paid Social,160176,3802,407,1479.86,2025-12-22 00:00:00
SPEND-0000187,CMP-0010,2025-12-24,Paid Social,74780,5194,244,1041.7,2025-12-30 00:00:00
SPEND-0000188,CMP-0010,2025-12-25,Paid Social,23811,1594,249,301.96,2025-12-31 00:00:00
SPEND-0000189,CMP-0010,2025-12-26,Paid Social,82711,4103,448,1869.39,2026-01-03 00:00:00
SPEND-0000190,CMP-0011,2025-05-26,Referral,115596,7691,416,1304.97,2025-06-01 00:00:00
SPEND-0000191,CMP-0011,2025-05-27,Referral,169180,11337,553,1818.17,2025-05-27 00:00:00
SPEND-0000192,CMP-0011,2025-05-28,Referral,42150,2350,100,1077.25,2025-05-31 00:00:00
SPEND-0000193,CMP-0011,2025-06-06,Referral,87228,982,101,1250.82,2025-06-11 00:00:00
SPEND-0000194,CMP-0011,2025-06-10,Referral,70415,3686,574,1266.73,2025-06-18 00:00:00
SPEND-0000195,CMP-0011,2025-06-12,Referral,211758,13054,1545,2141.32,2025-06-21 00:00:00
SPEND-0000196,CMP-0011,2025-06-18,Referral,52542,3085,321,1030.19,2025-06-23 00:00:00
SPEND-0000197,CMP-0011,2025-06-19,Referral,156911,10757,268,2292.38,2025-06-27 00:00:00
SPEND-0000198,CMP-0011,2025-06-22,Referral,50273,3566,556,672.81,2025-06-25 00:00:00
SPEND-0000199,CMP-0011,2025-06-25,Referral,104853,7110,986,1432.34,2025-06-30 00:00:00
SPEND-0000200,CMP-0011,2025-06-26,Referral,27176,350,50,667.45,2025-06-29 00:00:00
SPEND-0000201,CMP-0011,2025-06-27,Referral,45370,1607,160,479.0,2025-07-04 00:00:00
SPEND-0000202,CMP-0011,2025-06-28,Referral,136510,3679,548,1468.54,2025-06-29 00:00:00
SPEND-0000203,CMP-0011,2025-07-01,Referral,10116,447,39,108.37,2025-07-09 00:00:00
SPEND-0000204,CMP-0011,2025-07-02,Referral,27542,1580,27,341.1,2025-07-11 00:00:00
SPEND-0000205,CMP-0011,2025-07-03,Referral,72433,5376,617,1520.83,2025-07-07 00:00:00
SPEND-0000206,CMP-0011,2025-07-04,Referral,122380,1673,244,1667.59,2025-07-04 00:00:00
SPEND-0000207,CMP-0011,2025-07-05,Referral,93053,5224,448,1885.64,2025-07-05 00:00:00
SPEND-0000208,CMP-0011,2025-07-06,Referral,135829,10163,232,1132.77,2025-07-10 00:00:00
SPEND-0000209,CMP-0011,2025-07-07,Referral,8012,504,31,93.08,2025-07-15 00:00:00
SPEND-0000210,CMP-0011,2025-07-11,Referral,147670,5725,792,1708.36,2025-07-12 00:00:00
SPEND-0000211,CMP-0011,2025-07-14,Referral,79854,1747,178,1925.34,2025-07-20 00:00:00
SPEND-0000212,CMP-0011,2025-07-16,Referral,200401,7889,1057,1993.1,2025-07-19 00:00:00
SPEND-0000213,CMP-0011,2025-07-17,Referral,69443,3374,204,1455.31,2025-07-25 00:00:00
SPEND-0000214,CMP-0011,2025-07-19,Referral,100990,7474,881,910.17,2025-07-25 00:00:00
SPEND-0000215,CMP-0011,2025-07-21,Referral,28141,337,8,729.37,2025-07-24 00:00:00
SPEND-0000216,CMP-0011,2025-07-22,Referral,84422,1138,180,1649.25,2025-07-25 00:00:00
SPEND-0000217,CMP-0011,2025-07-23,Referral,120457,8690,905,1477.61,2025-07-30 00:00:00
SPEND-0000218,CMP-0011,2025-07-24,Referral,13943,513,82,163.85,2025-07-26 00:00:00
SPEND-0000219,CMP-0011,2025-07-25,Referral,198314,2275,351,1896.61,2025-07-29 00:00:00
SPEND-0000220,CMP-0011,2025-07-26,Referral,135624,6909,555,1285.41,2025-08-04 00:00:00
SPEND-0000221,CMP-0011,2025-07-28,Referral,49305,650,32,516.12,2025-07-30 00:00:00
SPEND-0000222,CMP-0011,2025-07-31,Referral,69730,3126,210,1298.99,2025-08-06 00:00:00
SPEND-0000223,CMP-0011,2025-08-02,Referral,96817,2053,81,1740.78,2025-08-04 00:00:00
SPEND-0000224,CMP-0012,2024-12-22,Paid Social,44427,2681,104,635.53,2024-12-28 00:00:00
SPEND-0000225,CMP-0012,2024-12-23,Paid Social,148670,2764,101,1485.81,2025-01-01 00:00:00
SPEND-0000226,CMP-0012,2024-12-26,Paid Social,90393,5791,310,813.94,2024-12-30 00:00:00
SPEND-0000227,CMP-0012,2024-12-27,Paid Social,77585,5559,630,1239.51,2024-12-31 00:00:00
SPEND-0000228,CMP-0012,2024-12-29,Paid Social,38536,457,43,1080.52,2024-12-29 00:00:00
SPEND-0000229,CMP-0012,2025-01-03,Paid Social,157021,9398,1235,1510.3,2025-01-10 00:00:00
SPEND-0000230,CMP-0012,2025-01-04,Paid Social,161744,4948,184,1493.21,2025-01-12 00:00:00
SPEND-0000231,CMP-0012,2025-01-06,Paid Social,42105,1906,183,771.82,2025-01-14 00:00:00
SPEND-0000232,CMP-0012,2025-01-07,Paid Social,22427,521,17,254.66,2025-01-16 00:00:00
SPEND-0000233,CMP-0012,2025-01-08,Paid Social,52949,931,141,756.61,2025-01-17 00:00:00
SPEND-0000234,CMP-0012,2025-01-10,Paid Social,4158,146,4,116.18,2025-01-12 00:00:00
SPEND-0000235,CMP-0012,2025-01-11,Paid Social,55953,3784,288,747.27,2025-01-12 00:00:00
SPEND-0000236,CMP-0012,2025-01-14,Paid Social,222916,14388,1995,1910.88,2025-01-21 00:00:00
SPEND-0000237,CMP-0012,2025-01-16,Paid Social,17129,451,50,345.89,2025-01-23 00:00:00
SPEND-0000238,CMP-0012,2025-01-17,Paid Social,81764,5106,100,1052.06,2025-01-17 00:00:00
SPEND-0000239,CMP-0012,2025-01-18,Paid Social,118468,3173,123,1389.23,2025-01-26 00:00:00
SPEND-0000240,CMP-0012,2025-01-19,Paid Social,149974,8793,1151,1407.01,2025-01-24 00:00:00
SPEND-0000241,CMP-0012,2025-01-20,Paid Social,127800,1782,166,1538.76,2025-01-23 00:00:00
SPEND-0000242,CMP-0012,2025-01-21,Paid Social,8164,551,79,83.73,2025-01-27 00:00:00
SPEND-0000243,CMP-0012,2025-01-22,Paid Social,147292,7498,127,1496.57,2025-01-25 00:00:00
SPEND-0000244,CMP-0012,2025-01-23,Paid Social,102190,6359,836,1297.36,2025-01-31 00:00:00
SPEND-0000245,CMP-0012,2025-01-26,Paid Social,36304,2445,94,439.73,2025-02-01 00:00:00
SPEND-0000246,CMP-0012,2025-01-27,Paid Social,86993,6310,977,2069.23,2025-01-29 00:00:00
SPEND-0000247,CMP-0012,2025-01-28,Paid Social,93607,2902,86,870.36,2025-02-06 00:00:00
SPEND-0000248,CMP-0012,2025-01-29,Paid Social,111466,1074,84,1080.32,2025-01-29 00:00:00
SPEND-0000249,CMP-0012,2025-01-31,Paid Social,110834,1701,75,1972.17,2025-02-06 00:00:00
SPEND-0000250,CMP-0012,2025-02-03,Paid Social,131337,4218,379,1500.41,2025-02-07 00:00:00
SPEND-0000251,CMP-0012,2025-02-04,Paid Social,12390,521,78,290.52,2025-02-07 00:00:00
SPEND-0000252,CMP-0012,2025-02-06,Paid Social,86901,5403,508,1095.12,2025-02-06 00:00:00
SPEND-0000253,CMP-0012,2025-02-08,Paid Social,35141,2446,384,952.54,2025-02-08 00:00:00
SPEND-0000254,CMP-0012,2025-02-09,Paid Social,48662,637,29,598.51,2025-02-12 00:00:00
SPEND-0000255,CMP-0012,2025-02-11,Paid Social,8070,300,34,89.15,2025-02-11 00:00:00
SPEND-0000256,CMP-0012,2025-02-13,Paid Social,258927,2697,200,2329.67,2025-02-19 00:00:00
SPEND-0000257,CMP-0012,2025-02-15,Paid Social,223189,5569,431,2312.7,2025-02-24 00:00:00
SPEND-0000258,CMP-0012,2025-02-16,Paid Social,41565,1052,120,734.65,2025-02-16 00:00:00
SPEND-0000259,CMP-0013,2025-04-30,Paid Search,72240,5042,462,1080.07,2025-05-01 00:00:00
